team1,team2,venue,date,time
Kings XI Punjab,Delhi Capitals,Dr DY Patil Sports Academy,"May 16, 2022",7:30 PM
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,"May 17, 2022",7:30 PM
Kolkata Knight Riders,Lucknow Super Giants,Dr DY Patil Sports Academy,"May 18, 2022",7:30 PM
Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,"May 19, 2022",7:30 PM
Rajasthan Royals,Chennai Super Kings,Brabourne Stadium,"May 20, 2022",7:30 PM
Mumbai Indians,Delhi Capitals,Wankhede Stadium,"May 21, 2022",7:30 PM
Sunrisers Hyderabad,Kings XI Punjab,Wankhede Stadium,"May 22, 2022",7:30 PM
TBC,TBC,Eden Gardens,,
TBC,TBC,Eden Gardens,,
TBC,TBC,Narendra Modi Stadium,,
TBC,TBC,Narendra Modi Stadium,,
